player,season,contract_length
Mike Conley,2017,5
Damian Lillard,2017,5
DeMar DeRozan,2017,5
Anthony Davis,2017,5
Bradley Beal,2017,5
Andre Drummond,2017,5
Nicolas Batum,2017,5
James Harden,2017,4
Al Horford,2017,4
LeBron James,2017,3
Hassan Whiteside,2017,4
Harrison Barnes,2017,4
Chandler Parsons,2017,4
Russell Westbrook,2017,3
Evan Fournier,2017,5
Ryan Anderson,2017,4
Allen Crabbe,2017,4
Joakim Noah,2017,4
Luol Deng,2017,4
Bismack Biyombo,2017,4
Dwight Howard,2017,3
Evan Turner,2017,4
Kent Bazemore,2017,4
Ian Mahinmi,2017,4
Timofey Mozgov,2017,4
Jonas Valanciunas,2017,4
J.R. Smith,2017,4
Marvin Williams,2017,4
Kevin Durant,2017,2
Eric Gordon,2017,4
Michael Kidd-Gilchrist,2017,4
Miles Plumlee,2017,4
Jordan Clarkson,2017,4
Tyler Johnson,2017,4
Courtney Lee,2017,4
John Henson,2017,4
Solomon Hill,2017,4
Dwyane Wade,2017,2
Jamal Crawford,2017,3
Jon Leuer,2017,4
Maurice Harkless,2017,4
Meyers Leonard,2017,4
Matthew Dellavedova,2017,4
Jeremy Lin,2017,3
Dwight Powell,2017,4
Austin Rivers,2017,3
Scott Brooks,2017,5
E'Twaun Moore,2017,4
Pau Gasol,2017,2
Terrence Ross,2017,3
Mirza Teletovic,2017,3
Jared Dudley,2017,3
Al Jefferson,2017,3
D.J. Augustin,2017,4
Lance Thomas,2017,4
Rajon Rondo,2017,2
Jerryd Bayless,2017,3
Ben Simmons,2017,4
Andrew Nicholson,2017,4
Dirk Nowitzki,2017,1
Arron Afflalo,2017,2
Luke Walton,2017,5
Garrett Temple,2017,3
Brandon Ingram,2017,4
Darrell Arthur,2017,3
Cole Aldrich,2017,3
Joe Johnson,2017,2
Jaylen Brown,2017,4
Jeremy Lamb,2017,3
Boban Marjanovic,2017,3
Dragan Bender,2017,4
Trevor Booker,2017,2
Dwane Casey,2017,3
Gerald Henderson,2017,2
Ishmael Smith,2017,3
Wesley Johnson,2017,3
Kris Dunn,2017,4
Alex Abrines,2017,3
Anthony Tolliver,2017,2
Tyler Zeller,2017,2
Buddy Hield,2017,4
Jason Smith,2017,3
Festus Ezeli,2017,2
Jeff Green,2017,1
Jamal Murray,2017,4
Manu Ginobili,2017,1
Marquese Chriss,2017,4
Tarik Black,2017,2
Matt Barnes,2017,2
Wayne Ellington,2017,2
Jakob Poeltl,2017,4
Thon Maker,2017,4
Domantas Sabonis,2017,4
Dario Saric,2017,4
Taurean Prince,2017,4
Langston Galloway,2017,2
Georgios Papagiannis,2017,4
Troy Daniels,2017,3
Deron Williams,2017,1
Denzel Valentine,2017,4
Juancho Hernangomez,2017,4
Tomas Satoransky,2017,3
Wade Baldwin,2017,4
Henry Ellenson,2017,4
Jordan Hill,2017,2
Lance Stephenson,2017,2
Leandro Barbosa,2017,2
Sergio Rodriguez,2017,1
Yi Jianlian,2017,1
Malik Beasley,2017,4
Richard Jefferson,2017,3
Caris LeVert,2017,4
DeAndre' Bembry,2017,4
Malachi Richardson,2017,4
Mike Miller,2017,2
Timothe Luwawu-Cabarrot,2017,4
Brice Johnson,2017,4
Pascal Siakam,2017,4
Skal Labissiere,2017,4
Dejounte Murray,2017,4
Damian Jones,2017,4
Willy Hernangomez,2017,4
Ramon Sessions,2017,1
Justin Hamilton,2017,2
Dion Waiters,2017,2
James Ennis III,2017,2
Seth Curry,2017,2
Dewayne Dedmon,2017,2
Mindaugas Kuzminskas,2017,2
Jared Sullinger,2017,1
Luis Scola,2017,1
Demetrius Jackson,2017,4
Roy Hibbert,2017,1
Brandon Jennings,2017,1
Malcom Delaney,2017,2
Ronnie Price,2017,2
Derrick Williams,2017,1
Isaiah Whitehead,2017,4
Luc Richard Mbah a Moute,2017,2
Greivis Vasquez,2017,1
Tim Frazier,2017,2
Udonis Haslem,2017,1
Kris Humphries,2017,1
James Johnson,2017,1
Tyler Ulis,2017,4
Deyonta Davis,2017,3
Ivica Zubac,2017,3
Paul Zipser,2017,4
Malcolm Brogdon,2017,3
Kevin Seraphin,2017,2
Brandon Rush,2017,1
Quincy Acy,2017,2
Jake Layman,2017,3
Rodney McGruder,2017,3
Cheick Diallo,2017,3
Dorian Finney-Smith,2017,3
Derrick Jones Jr.,2017,3
David Lee,2017,2
Nate Wolters,2017,3
Chasson Randle,2017,3
Walter Tavares,2017,3
Marcelo Huertas,2017,2
Isaiah Taylor,2017,3
Andrew Harrison,2017,3
Stephen Zimmerman,2017,3
